GADM_COUNTRY_SELECT_VALUE,GADM_COUNTRY_SELECT_NAME
AFG_Afghanistan_3,Afghanistan
ALB_Albania_4,Albania
DZA_Algeria_3,Algeria
AND_Andorra_2,Andorra
AGO_Angola_4,Angola
ATA_Antarctica_1,Antarctica
ATG_Antigua and Barbuda_2,Antigua and Barbuda
ARG_Argentina_3,Argentina
ARM_Armenia_2,Armenia
AUS_Australia_3,Australia
AUT_Austria_4,Austria
AZE_Azerbaijan_3,Azerbaijan
BHS_Bahamas_2,Bahamas
BHR_Bahrain_2,Bahrain
BGD_Bangladesh_5,Bangladesh
BRB_Barbados_2,Barbados
BLR_Belarus_3,Belarus
BEL_Belgium_5,Belgium
BLZ_Belize_2,Belize
BEN_Benin_3,Benin
BTN_Bhutan_3,Bhutan
BOL_Bolivia_4,Bolivia
BIH_Bosnia and Herzegovina_4,Bosnia and Herzegovina
BWA_Botswana_3,Botswana
BRA_Brazil_4,Brazil
BRN_Brunei_3,Brunei
BGR_Bulgaria_3,Bulgaria
BFA_Burkina Faso_4,Burkina Faso
BDI_Burundi_5,Burundi
CPV_Cabo Verde_2,Cabo Verde
KHM_Cambodia_5,Cambodia
CMR_Cameroon_4,Cameroon
CAN_Canada_4,Canada
XCA_Caspian Sea_1,Caspian Sea
CAF_Central African Republic_3,Central African Republic
TCD_Chad_4,Chad
CHL_Chile_4,Chile
CHN_China_4,China
COL_Colombia_3,Colombia
COM_Comoros_2,Comoros
COG_Congo_3,Congo
CRI_Costa Rica_4,Costa Rica
CIV_Côte d'Ivoire_5,Côte d'Ivoire
HRV_Croatia_3,Croatia
CUB_Cuba_3,Cuba
CYP_Cyprus_2,Cyprus
CZE_Czech Republic_3,Czech Republic
COD_Democratic Republic of the Congo_3,Democratic Republic of the Congo
DNK_Denmark_3,Denmark
DJI_Djibouti_3,Djibouti
DMA_Dominica_2,Dominica
DOM_Dominican Republic_3,Dominican Republic
TLS_East Timor_4,East Timor
ECU_Ecuador_4,Ecuador
EGY_Egypt_3,Egypt
SLV_El Salvador_3,El Salvador
GNQ_Equatorial Guinea_3,Equatorial Guinea
ERI_Eritrea_3,Eritrea
EST_Estonia_4,Estonia
SWZ_Eswatini_3,Eswatini
ETH_Ethiopia_4,Ethiopia
FJI_Fiji_3,Fiji
FIN_Finland_5,Finland
FRA_France_6,France
GAB_Gabon_3,Gabon
GMB_Gambia_3,Gambia
GEO_Georgia_3,Georgia
DEU_Germany_5,Germany
GHA_Ghana_3,Ghana
GRC_Greece_4,Greece
GRD_Grenada_2,Grenada
GUM_Guam_2,Guam
GTM_Guatemala_3,Guatemala
GIN_Guinea_4,Guinea
GNB_Guinea-Bissau_3,Guinea-Bissau
GUY_Guyana_3,Guyana
HTI_Haiti_5,Haiti
HND_Honduras_3,Honduras
HUN_Hungary_3,Hungary
ISL_Iceland_3,Iceland
IND_India_4,India
IDN_Indonesia_5,Indonesia
IRN_Iran_3,Iran
IRQ_Iraq_3,Iraq
IRL_Ireland_3,Ireland
ISR_Israel_2,Israel
ITA_Italy_4,Italy
JAM_Jamaica_2,Jamaica
JPN_Japan_3,Japan
JOR_Jordan_3,Jordan
KAZ_Kazakhstan_3,Kazakhstan
KEN_Kenya_4,Kenya
KIR_Kiribati_1,Kiribati
XKO_Kosovo_3,Kosovo
KWT_Kuwait_2,Kuwait
KGZ_Kyrgyzstan_3,Kyrgyzstan
LAO_Laos_3,Laos
LVA_Latvia_3,Latvia
LBN_Lebanon_4,Lebanon
LSO_Lesotho_2,Lesotho
LBR_Liberia_4,Liberia
LBY_Libya_2,Libya
LIE_Liechtenstein_2,Liechtenstein
LTU_Lithuania_3,Lithuania
LUX_Luxembourg_5,Luxembourg
MKD_Macedonia_2,Macedonia
MDG_Madagascar_5,Madagascar
MWI_Malawi_4,Malawi
MYS_Malaysia_3,Malaysia
MDV_Maldives_1,Maldives
MLI_Mali_5,Mali
MLT_Malta_3,Malta
MHL_Marshall Islands_2,Marshall Islands
MRT_Mauritania_3,Mauritania
MUS_Mauritius_2,Mauritius
MEX_Mexico_3,Mexico
